areaType,areaName,areaCode,date,newPeopleVaccinatedSecondDoseByPublishDate,cumPeopleVaccinatedSecondDoseByPublishDate
overview,United Kingdom,K02000001,2021-03-26,283654,3293517
overview,United Kingdom,K02000001,2021-03-25,234382,3009863
overview,United Kingdom,K02000001,2021-03-24,242642,2775481
overview,United Kingdom,K02000001,2021-03-23,167512,2532839
overview,United Kingdom,K02000001,2021-03-22,87542,2365327
overview,United Kingdom,K02000001,2021-03-21,45039,2277785
overview,United Kingdom,K02000001,2021-03-20,92691,2232746
overview,United Kingdom,K02000001,2021-03-19,127232,2140055
overview,United Kingdom,K02000001,2021-03-18,133542,2012823
overview,United Kingdom,K02000001,2021-03-17,120154,1879281
overview,United Kingdom,K02000001,2021-03-16,95487,1759127
overview,United Kingdom,K02000001,2021-03-15,54668,1663640
overview,United Kingdom,K02000001,2021-03-14,25374,1608972
overview,United Kingdom,K02000001,2021-03-13,52150,1583598
overview,United Kingdom,K02000001,2021-03-12,87679,1531448
overview,United Kingdom,K02000001,2021-03-11,93563,1443769
overview,United Kingdom,K02000001,2021-03-10,97357,1350206
overview,United Kingdom,K02000001,2021-03-09,73129,1252849
overview,United Kingdom,K02000001,2021-03-08,38804,1179720
overview,United Kingdom,K02000001,2021-03-07,20241,1140916
overview,United Kingdom,K02000001,2021-03-06,31562,1120675
overview,United Kingdom,K02000001,2021-03-05,56772,1089113
overview,United Kingdom,K02000001,2021-03-04,70206,1032341
overview,United Kingdom,K02000001,2021-03-03,68374,962135
overview,United Kingdom,K02000001,2021-03-02,50991,893761
overview,United Kingdom,K02000001,2021-03-01,28083,842770
overview,United Kingdom,K02000001,2021-02-28,19684,814687
overview,United Kingdom,K02000001,2021-02-27,27322,795003
overview,United Kingdom,K02000001,2021-02-26,32797,767681
overview,United Kingdom,K02000001,2021-02-25,35329,734884
overview,United Kingdom,K02000001,2021-02-24,31614,699555
overview,United Kingdom,K02000001,2021-02-23,26317,667941
overview,United Kingdom,K02000001,2021-02-22,18463,641624
overview,United Kingdom,K02000001,2021-02-21,9261,623161
overview,United Kingdom,K02000001,2021-02-20,10264,613900
overview,United Kingdom,K02000001,2021-02-19,15294,603636
overview,United Kingdom,K02000001,2021-02-18,15867,588342
overview,United Kingdom,K02000001,2021-02-17,15143,572475
overview,United Kingdom,K02000001,2021-02-16,12411,557332
overview,United Kingdom,K02000001,2021-02-15,6516,544921
overview,United Kingdom,K02000001,2021-02-14,1915,538405
overview,United Kingdom,K02000001,2021-02-13,2846,536490
overview,United Kingdom,K02000001,2021-02-12,4768,533644
overview,United Kingdom,K02000001,2021-02-11,5634,528876
overview,United Kingdom,K02000001,2021-02-10,4894,523242
overview,United Kingdom,K02000001,2021-02-09,3160,518348
overview,United Kingdom,K02000001,2021-02-08,3811,515188
overview,United Kingdom,K02000001,2021-02-07,824,511377
overview,United Kingdom,K02000001,2021-02-06,1667,510553
overview,United Kingdom,K02000001,2021-02-05,4062,508886
overview,United Kingdom,K02000001,2021-02-04,4016,504824
overview,United Kingdom,K02000001,2021-02-03,2987,500808
overview,United Kingdom,K02000001,2021-02-02,2171,497821
overview,United Kingdom,K02000001,2021-02-01,2587,495650
overview,United Kingdom,K02000001,2021-01-31,3126,493063
overview,United Kingdom,K02000001,2021-01-30,10546,489937
overview,United Kingdom,K02000001,2021-01-29,2249,479391
overview,United Kingdom,K02000001,2021-01-28,1759,477142
overview,United Kingdom,K02000001,2021-01-27,1670,475383
overview,United Kingdom,K02000001,2021-01-26,1710,473713
overview,United Kingdom,K02000001,2021-01-25,1968,472003
overview,United Kingdom,K02000001,2021-01-24,820,470035
overview,United Kingdom,K02000001,2021-01-23,1043,469215
overview,United Kingdom,K02000001,2021-01-22,1821,468172
overview,United Kingdom,K02000001,2021-01-21,2760,466351
overview,United Kingdom,K02000001,2021-01-20,3411,463591
overview,United Kingdom,K02000001,2021-01-19,3759,460180
overview,United Kingdom,K02000001,2021-01-18,4576,456421
overview,United Kingdom,K02000001,2021-01-17,2214,451845
overview,United Kingdom,K02000001,2021-01-16,2642,449631
overview,United Kingdom,K02000001,2021-01-15,4208,446989
overview,United Kingdom,K02000001,2021-01-14,5257,442781
overview,United Kingdom,K02000001,2021-01-13,9745,437524
overview,United Kingdom,K02000001,2021-01-12,16065,427779
overview,United Kingdom,K02000001,2021-01-11,21159,411714
overview,United Kingdom,K02000001,2021-01-10,,390555
